CODIGO,NOMBRE,PRECIO,FAMILIA,VENTA,RUT,EXISTENCIA
49,ART 363 ZAPAT. BABY NEGRA 12.0,7137,6,10562,88383100-4,0.0
50,CINTURON VAR CAFE/NEG CAJA,1790,15,2649,5271995-K,0.0
51,SUSPENSORES CLIPS COLOR,3150,15,5500,5271995-K,0.0
52,CAMISA M/L VARON LISA,2680,3,3966,78165090-0,0.0
53,CAMISA M/L OXFORD VARON,1600,3,2368,78165090-0,0.0
54,CALCETA ESCOLAR 10-11,990,1,1690,76333900-9,65.0
55,ZAPATILLA  DEPORTIVA,5500,6,8140,77751180-7,0.0
56,CALCETA ESCOLAR 5/6,758,1,1320,76333900-9,0.0
57,CALCETA ESCOLAR 7/8,850,1,1480,76333900-9,18.0
58,CALCETA ESCOLAR 9-10,916,1,1590,76333900-9,37.0
59,SOQUETE ESCOLAR PM/AM 11/12,565,1,990,76333900-9,10.0
60,SOQUETE ESCOLAR PM/AM 9/10,850,1,1480,76333900-9,12.0
61,SOQUETE ESCOLAR PM/AM 7/8,758,1,1290,76333900-9,0.0
62,SOQUETE ESCOLAR PM/AM 5/6,675,1,1180,76333900-9,0.0
63,CALCETA ESCOLAR 9-10,614,1,990,76333900-9,16.0
64,GUANTES BLANCOS 12,900,15,1580,3100854-9,0.0
65,BALON BASKET PVC 7,3411,5,6990,77462640-9,0.0
66,GUANTE ARQUERO NINO INFAN 5/8,1690,5,2501,77405650-5,0.0
67,ZAPATILLAS DEPORTIVAS 39/43,4690,5,6941,4881277-5,0.0
68,PITO DELUXE CON CORDON,355,5,650,77405650-5,0.0
69,ART KS 32-S BALON TRAIN  TANGO,9709,5,16990,84915900-3,84.0
70,COPA ART.1931-39.5CM,7790,5,13690,84915900-3,1.0
71,ART 18 B.VOLLEYBOL CUERO TRAIN,6061,5,8970,84915900-3,0.0
72,RESORTE 15170 32 CM40V/RIFLE,4954,5,7332,84915900-3,0.0
73,COPA ART.2332,2146,5,3176,84915900-3,0.0
74,CINTA TRI C/MOSQ,99,5,170,84915900-3,47.0
75,COJIN TNT 50*50,1000,1,1790,76676820-2,0.0
76,ART 39 ZAP DES DAMA TRADIC 35/,2400,1,3990,85910900-4,0.0
77,ZAP. DESCANSO GAMUZA VARON 39/,2400,1,4990,85910900-4,57.0
78,ART 906 CAMISOLA M/M CORTA B S,5000,1,8990,85910900-4,25.0
79,CAMISA CELEST COLEG.ART 198 14,1728,1,2557,80902800-3,0.0
80,CAMISTA PANTY DAMA COLORES,770,1,1490,76451600-1,28.0
81,Q. DAVINCI EST. 1.5 PL,7200,1,12990,79536070-0,0.0
82,Q. DAVINCI EST. 2.0 PL,9250,1,15990,79536070-0,0.0
83,CAMISTA TIRANTES BLANCA M/XXL,1050,1,2990,76451600-1,0.0
84,SILBATO SHARX,2108,1,3690,77462640-9,3.0
85,CAMISA CELES COLEG.ART 2040 41,2538,1,3756,80902800-3,0.0
86,PIJAMA CORTO M/M ALG DAMA S/XL,3420,1,5990,76333900-9,4.0
87,CAMISA CELES COLEG.ART 2040 43,2934,1,4342,80902800-3,0.0
88,CAMISA CELES COLEG.ART 2040 44,2565,1,3796,80902800-3,0.0
89,TOALLA BANO 1 COLOR 520GRS MEN,2740,1,4790,80902800-3,0.0
90,TOALLA PARVULO C/DISENO,386,1,790,76451600-1,19.0
91,PIJAMA PESCADOR CORTO M/M S/XL,4000,1,6990,76451600-1,11.0
92,PIJAMA POLAR DELG C/R HOM S/XL,4900,1,7990,76451600-1,0.0
93,PIJAMA ALG CORTO VARON S/XL,3420,1,5990,76333900-9,0.0
94,CAMISA BLANCA COLEG.ART 166 16,1850,1,2738,80902800-3,0.0
95,SOQ TOBILLERA FELPA SPDX 11/12,600,1,1050,76333900-9,11.0
96,MEDIA ETO'O ADULTO NJ FLUOR,1332,1,1990,76064490-0,0.0
97,CAMISA BLANC COLEG.ART 1260 39,2690,1,3981,80902800-3,0.0
98,CAMISA BLANC COLEG.ART 1260 40,2430,1,3596,80902800-3,0.0
99,LENTAJAS SET 50/UND UHLSPORT,6900,1,11990,76064490-0,0.0
100,TOALLA BANO 500GR 70*140,2920,1,4990,89524100-8,0.0
101,CAMINO COLOR BEIGE 40*90,1050,1,1990,89524100-8,1.0
102,CAMISA BLANC COLEG.ART 1260 44,2691,1,3982,80902800-3,0.0
103,BLUSA BLANCA COLEGIO ART. 180T,1368,1,2025,80902800-3,0.0
104,SET TOALLAS 2 COLO/U CHILE,2750,1,4990,78526430-4,0.0
105,TOALLA PLAYA MOD DISNEY,2200,1,3990,78526430-4,0.0
106,TOALLA PLAYA BARZA ALEX C/CAPU,1500,1,3990,78526430-4,0.0
107,TOALLA PLAYA COLO/U.CHILE,2995,1,6990,78526430-4,0.0
108,ALMOHADA CANON 50*70,2650,1,3990,78526430-4,0.0
109,TOALLA PLAYA ADULTO,2067,1,3990,76451600-1,0.0
110,BLUSA BLANCA COLEGI.ART 180 18,1971,1,2917,80902800-3,0.0
111,BLUSA BLANCA COLEGI ART 180 20,2272,1,3363,80902800-3,0.0
112,PIJAMA TREVIRA CORTO HOM 46/56,2661,5,5490,76451600-1,6.0
113,GUANTE CICLISMO EXPERT M/L/XL,1452,5,2149,77405650-5,0.0
114,DIABLO POOL DE ALUMINIO,450,5,666,3634388-5,0.0
115,JUEGO BOLAS PULINA 11/2,12950,5,19166,3634388-5,0.0
116,BOQUILLAS EMBUTIDAS,70,9,104,3634388-5,0.0
117,AROS BASQUETBOL,2690,5,3981,3634388-5,0.0
118,40402 ZAP.COL.COST. NI╛O,6490,12,9605,81756100-4,0.0
119,ALITAS NATACION,800,5,1184,3634388-5,0.0
120,ZAP.COL.COS.BCA,9990,12,14785,81756100-4,0.0
121,CAJA POSTON 100 5.5,450,5,666,84915900-3,0.0
122,BALON VOLLEY CLASICO 2.0,2392,10,4990,77462640-9,2.0
123,ESPUELA FOLCLOR 21/2 P,11129,10,17300,80019100-9,3.0
124,SABANA SPIDERMAN SINGLE,7650,10,12990,89524100-8,0.0
125,SABANA BART SIMPSON SINGLE,3800,10,7990,89524100-8,0.0
126,PLUMON SINGLE TREV SPIDERMAN,14750,10,24990,89524100-8,0.0
127,PLUMON SIMPSON N/BL SINGLE TRE,12780,10,19990,89524100-8,0.0
128,MANILLLAS TACA TACA,450,10,990,77139990-8,0.0
129,CAMISA NINO 1 COLOR 6/16,2333,10,3990,80019100-9,0.0
130,"BOLSO VIAJE 22""600D NEG",3650,10,5990,76333900-9,0.0
131,PROTECTOR BUCAL DOBLE LEAGE JU,783,10,1390,76064490-0,0.0
133,ART  930 OVEROL MEZCLILLA T-46,4850,11,7178,96597120-3,0.0
134,ART  930 OVEROL MEZCLILLA T-48,4850,11,7178,96597120-3,0.0
135,ART  930 OVEROL MESCLILLA T-50,4850,11,7178,96597120-3,0.0
136,ART  930 OVEROL MEZCLILLA T-52,4850,11,7178,96597120-3,0.0
137,ART  930 OVEROL MEZCLILLA T-54,4850,11,7178,96597120-3,0.0
138,ART  930 OVEROL MEZCLILLA T-56,4850,11,7178,96597120-3,0.0
139,ART  930 OVEROL MEZCLILLA T-58,4850,11,7178,96597120-3,0.0
140,ART  930 OVEROL MEZCLILLA T-60,4850,11,7178,96597120-3,0.0
141,ART. 40 CORBATIN COLEGIAL AZUL,260,1,384,93157000-5,0.0
142,ART. 40 CORBATIN COLEGIAL ROJO,220,1,325,93157000-5,0.0
143,ART. 40 CORBATIN COLEGI BURDEO,220,1,325,93157000-5,0.0
144,ART. 40 CORBATIN COLEGIAL GRIS,220,1,325,93157000-5,0.0
145,60 N.CORBATA COLEGIA NI╛O AZUL,300,1,444,93157000-5,0.0
146,60 N.CORBATA COLEGIA NI╛O ROJO,300,1,444,93157000-5,0.0
147,60 N.CORBATA COLEG NI╛O BURDEO,300,1,444,93157000-5,0.0
148,60 N.CORBATA COLEGIA NI╛O GRIS,300,1,444,93157000-5,0.0
149,60 C.CORBATA COLEG CADETE AZUL,410,1,606,93157000-5,0.0
150,60 C.CORBATA COLEG CADETE ROJO,410,1,606,93157000-5,0.0
151,60 C.CORBATA COLEG CADETE GRIS,410,1,606,93157000-5,0.0
152,60 C.CORBATA COL CADETE BURDEO,410,1,606,93157000-5,0.0
153,60 H.CORBATA COLEG ADULTO AZUL,483,1,714,93157000-5,0.0
154,60 H.CORBATA COLEG ADULTO ROJO,483,1,714,93157000-5,0.0
155,60 H.CORBATA COLEG ADULTO GRIS,483,1,714,93157000-5,0.0
156,60 H.CORBATA COL ADULTO BURDEO,483,1,714,93157000-5,0.0
157,BALON FUT REEBOK VEC,3850,1,6790,10700067-4,0.0
158,COPA TRO 224 32CM,3591,1,6280,76064490-0,0.0
159,COPA TRO 224 38CM,4041,1,6990,76064490-0,0.0
160,COPA TRO 224 42.6 CM,4491,1,7990,76064490-0,1.0
161,MED FUT ETO POWER,936,1,1590,76064490-0,0.0
162,MANTA HUASO KINDER,6039,1,9990,80019100-9,2.0
163,CHALECO CAS/S/MAN FOLKOR,1799,1,2990,80019100-9,7.0
164,CHALECO S/MAN FLOKOR10/16,1799,1,2790,80019100-9,0.0
165,CORBATIN METALICO HUASO,1479,1,2490,80019100-9,1.0
166,CORTINA BANO C/FOR,700,1,1490,76060030-K,10.0
167,BALON FUTBOL,1790,1,2990,76060030-K,0.0
168,CALZA DAMA POLAR RED,700,5,1990,76451600-1,0.0
169,HAND GRIP C/RELOJ,1800,5,2664,76643690-0,0.0
170,CHALONES COLORES SURTIDOS LANA,4120,4,6097,92783000-0,0.0
171,SWETER JACKARD COLORES SURTIDO,5600,3,8288,96641330-1,0.0
42,ART 363 ZAPATI. BABY NEGRA 8.5,7137,6,10562,88383100-4,0.0
172,P. SHERPA EMBOSSED 1.5,13400,5,23990,79536070-0,10.0
173,P. SHERPA EMBOSSED 2.0,16300,5,28990,79536070-0,17.0
174,CUBRE SHERPA 2.5 3D,20400,6,35990,79536070-0,1.0
175,FARZADA NACIONAL 1.5 PL,6720,6,11990,79536070-0,0.0
176,FRAZADAA NACIONAL 2PL,8290,5,13990,79536070-0,0.0
177,MASCARILLA ANTIVIRUS,490,12,890,76451600-1,20.0
178,YOGA MAT LISO 0.4,5790,12,9990,77462640-9,0.0
179,BANDA ELAST AZUL,2358,12,3990,77462640-9,0.0
180,BALON PHILATES DRB 75,9145,12,15900,77462640-9,1.0
181,PAÑAL BLCO,595,12,990,76451600-1,7.0
182,ESCUDO OKAMI CURVO,24990,12,39990,76064490-0,1.0
183,MANCUERNA TOR HEXA 1K PAR,3690,12,5990,76064490-0,1.0
184,MANCUERNA TOR HEXA 2KG PAR,7190,6,11990,76064490-0,0.0
185,MANCUERNA TOR HEXA 2.5K PAR,8990,6,14990,76064490-0,0.0
186,MUNEQ/TOBILL TORPEDO 2K,5090,6,8990,76064490-0,0.0
187,BANDA ELAST CIRCULAR TORP C/U,1330,6,2390,76064490-0,0.0
188,BALON DELTA FUTSAL,19990,6,34990,79587250-7,1.0
189,ELASTICO GO DO,4400,6,7990,77139960-6,0.0
202,FRAZADA JACKARDS 1.5PL,7480,13,12990,93049000-8,0.0
203,FRAZADA JACKARDS 2PL,9980,13,16990,93049000-8,0.0
204,SET TOALLA CAMILLE,5880,13,10290,79536070-0,52.0
205,LIMPIA PIES ALFOM40*60,1700,16,3790,79536070-0,17.0
206,SABANA CARS SINGLE,7650,5,13990,89524100-8,0.0
207,PLUMON CARS SINGLE,13275,8,22990,89524100-8,0.0
209,SABANA MINI MIKEY SINGLE,7650,6,12990,89524100-8,0.0
210,PLIMON FROZEN SINGLE,13275,6,22990,89524100-8,2.0
211,BANDA PILATES C/MANILLA,4600,6,7990,77139960-6,0.0
212,PIJAMA POLAR VARON,3500,16,6990,93049000-8,0.0
213,PIJAMA POLAR DAMA,4900,6,8990,93049000-8,0.0
214,FUNDAS ALMOHADAS BROD SET,2860,8,6490,79536070-0,4.0
215,PANTUFLA HOMBRE CHIPORR TALON,2000,8,3990,14609438-4,2.0
216,PIJAMA POLAR DAMA,4900,8,8990,93049000-8,40.0
217,YOGA MAT 06,7190,6,12490,77462640-9,0.0
218,FRAZADA POLAR ESCOS SHERPA 2PL,9470,6,15990,79536070-0,0.0
219,JGO CORTINAS CAMBRIDG,7200,6,12990,79536070-0,15.0
220,CAMISA MATERNAL,7900,6,13990,85910900-4,1.0
221,JGO SABANA ESTAM 2 PL,9560,6,16990,79536070-0,0.0
222,GUANTE CICLISMO GIRO S/XL,2460,6,3990,77462640-9,0.0
223,QUILT STONEWAS 1.5PL,9770,6,16990,79536070-0,3.0
224,QUILT STONEWAS 2PL,12590,6,21990,79536070-0,0.0
225,QUILT STONEWAS 2.5PL,13800,8,23900,79536070-0,8.0
226,CORTINA BLACOUT C/VILL,14010,16,24990,79536070-0,9.0
227,BALON MOLTEN UEFA 5,4830,6,8990,79587250-7,1.0
228,BOLSO U.S.F,1500,6,2990,11644070-9,7.0
229,SACO BOX 75CM,16000,6,29990,11644070-9,1.0
230,SACO BOX 1 MT,24000,12,39990,11644070-9,0.0
231,SABANA FROZEN SINGLE,7650,12,13990,89524100-8,0.0
232,CORTINAS SET RUSTICA,11500,12,17990,89524100-8,3.0
233,SABANA 144 H COLORES 1.5PL,7900,12,13990,89524100-8,0.0
234,SABANA MASHI BRODER 2PL,10900,12,18990,89524100-8,0.0
235,QUILT PORTOFINO LUX 1.5PL,11850,12,19990,79536070-0,0.0
236,SOQ DEORTIVO TENIS,3500,12,990,76451600-1,0.0
237,ALMOHADAS PACK SEERSUK,4600,5,11990,79536070-0,7.0
238,PAÑO COCINA,312,6,590,76451600-1,0.0
239,SABANA ZARINA 21/12PL,11460,8,19990,93049000-8,0.0
240,SABANA ZARINA 2 PL,9510,8,15990,93049000-8,0.0
241,CUBRE BORDADO 21/2 PL,15980,8,27900,93049000-8,0.0
242,COBERTOR ESTAMPADO 21/2PL,11790,8,20990,93049000-8,0.0
243,BALON FUTSAL,17980,8,29990,79587250-7,3.0
244,VESTON RECTO COLEGIO ADULTO IM,12900,3,19900,81756100-4,1.0
245,PANTALON COTELE AD. IMP.,3990,3,5905,81756100-4,0.0
246,CANILLERAS INF. C/L,790,5,1169,3634388-5,0.0
247,CANILLERAS ADULTO,890,5,1317,3634388-5,3.0
248,BALON FUTBOLL SPAIN SPOGA 5,3213,5,4755,77311340-8,0.0
249,BALON BABY STARS SPOGA,4110,5,6083,77311340-8,0.0
250,PETOS COLOR ADULT,1245,5,2190,77462640-9,0.0
251,BALON FUTBOL SPOGA COPA,1200,5,1776,77311340-8,0.0
252,POLERA BLANCA GIMNACI CHINA 42,498,9,737,50033500-9,0.0
253,POLERA BLANCA GIMNACI CHINA 44,415,9,614,50033500-9,0.0
254,ART 131 ZAP FUTBOLL INTERCA 38,10861,5,16074,88383100-4,0.0
255,ART 131 ZAP FUTBOLL INTERCA 39,10861,5,16074,88383100-4,0.0
259,ART 131 ZAP FUTBOLL INTERCA 43,10861,5,16074,88383100-4,0.0
257,ART 131 ZAP FUTBOLL INTERCA 41,10861,5,16074,88383100-4,0.0
258,ART 131 ZAP FUTBOLL INTERCA 42,10861,5,16074,88383100-4,0.0
261,ART 553 ZAP FU.PLANTA GOMA 5.0,6483,5,9594,88383100-4,0.0
260,ART 131 ZAP FUTBOLL INTERCA 44,10861,5,16074,88383100-4,0.0
262,ART 553 ZAP FU.PLANTA GOMA 5.5,6483,5,9594,88383100-4,0.0
263,ART 553 ZAP FU.PLANTA GOMA 6.0,6483,5,9594,88383100-4,0.0
264,ART 553 ZAP FU.PLANTA GOMA 6.5,6483,5,9594,88383100-4,0.0
265,ART 553 ZAP FU.PLANTA GOMA 7.0,6483,5,9594,88383100-4,0.0
266,ART 553 ZAP FU.PLANTA GOMA 7.5,6483,5,9594,88383100-4,0.0
267,ART 553 ZAP FU.PLANTA GOMA 8.0,6483,5,9594,88383100-4,0.0
268,ART 553 ZAP FU.PLANTA GOMA 8.5,6483,5,9594,88383100-4,0.0
269,ART 553 ZAP FU.PLANTA GOMA 9.0,6483,5,9594,88383100-4,0.0
270,ART 553 ZAP FU.PLANTA GOMA 9.5,6483,5,9594,88383100-4,0.0
271,ART 553 ZA FU.PLANTA GOMA 10.0,6483,5,9594,88383100-4,0.0
272,ART 553 ZA FU.PLANTA GOMA 10.5,6483,5,9594,88383100-4,0.0
273,ART 553 ZA FU.PLANTA GOMA 11.0,6483,5,9594,88383100-4,0.0
256,ART 131 ZAP FUTBOLL INTERCA 40,10861,5,16054,88383100-4,0.0
279,RODLL VOLEY PROT ELAST S/L,3690,9,6990,76064490-0,8.0
275,PLUMON PLUMTT 11/2PL,8928,9,12990,89524100-8,0.0
276,SABANA PLUMTT 132H 11/2P DISEN,2200,9,4990,89524100-8,0.0
277,PLUMON PLUMETTI MICRO 2PL,10296,9,14990,89524100-8,0.0
278,FIGURA COLGANTE NAVIDAD,1990,9,3480,89524100-8,0.0
274,BANDERA CHILENA 90X135 PUNGE,1570,9,2690,89524100-8,0.0
280,BANDERA CHILENA 120*180 PUNGE,2115,9,3690,89524100-8,0.0
281,BAMDERA CHILENA 2*3 PUNGE,4491,9,7890,89524100-8,0.0
282,BALON MEDICINAL TORPEDO 5K P/N,9900,9,16990,76064490-0,0.0
283,CHAQUETA HUASO 2/4,16429,9,26990,80019100-9,3.0
284,MEDIA PANTALON INDIVIDUAL,140,9,490,76451600-1,0.0
285,MEDIA PANTALON SET 6,2000,9,1990,76451600-1,0.0
286,MEDIA PANTALON C/DISENO ZA ZA,416,9,790,76451600-1,0.0
287,MEDIA LIGA CORRIENTE AZATEX,333,9,590,76451600-1,0.0
288,PANUELO VARON ALG COLOR,250,9,490,76451600-1,68.0
289,PANUELO VARON CAJA 3 COLOR,950,9,1690,76451600-1,11.0
290,PANTY NINA CALADA CAJA AZATEX,625,9,1090,76451600-1,6.0
291,CAMISETA C/PAVILO MAYA,666,9,1160,76451600-1,2.0
292,CAMISTA DAMA M/LAG MAYA,666,9,1160,76451600-1,2.0
293,CUADRO DAMA ALG NORMAL S/XL,1090,9,1890,76451600-1,0.0
294,CUADRO ALG DAMA XXL,1370,9,2390,76451600-1,0.0
295,MINISQUERA NEO RODILL STD,990,9,1790,77139990-8,0.0
296,CAMISETA PAVILO PRECORSE,750,9,1290,76451600-1,3.0
297,SABANA LITLES PET SHOP 11/2P,4990,9,7990,89524100-8,0.0
298,SABANA HELLO KITY 11/2,5500,9,7990,89524100-8,0.0
299,SABANA MF BEN 10 11/2P,5750,9,7990,89524100-8,0.0
300,TRIQUINI DAMA C/ARGOLLA,2083,9,3990,76451600-1,10.0
301,BALON VOLLEY CUERO  SUPER SOFT,3290,9,5990,76064490-0,0.0
302,SET LENTEJAS ETO 50 P.,8590,9,14990,76064490-0,0.0
303,SOQUETE BAMBU S/COSTURA,1000,9,1790,76442659-2,0.0
304,BALON HANDBOL CUERO 2,6590,9,10990,76064490-0,0.0
305,BALON FUT ETO XTM,1700,9,3990,76064490-0,0.0
306,CAMIS FUT EOTO ADULT OFERTA,2241,9,4990,76064490-0,6.0
307,TOALLITA BEBE MANO UN COLOR,168,1,990,76451600-1,0.0
308,CAAM POLAR DAMA M/L STAVIO,1610,1,2990,76451600-1,0.0
309,GEOLOGO TRO POPLIN,2990,1,6990,76064490-0,11.0
310,CICINILLA GAS 1 PLATO,8290,7,14500,84915900-3,1.0
311,SABANA BRODERI 2 PL 144,11110,9,18990,79536070-0,1.0
312,CUBRECAMA 1 PL C/FUN,5460,4,9990,92817000-4,0.0
313,FAJA ELASTIC BL S/XL,2800,5,5990,8752597-K,0.0
314,BALON FUT LIGA PRO,8990,5,13990,77139990-8,1.0
315,ZAP.FUT NINO 30/36,4400,5,7990,77139990-8,0.0
316,BALON BASKET 3,1500,5,4990,77139990-8,6.0
317,BALON BASKET COLOR 5,3290,5,5990,77139990-8,8.0
318,BALON BASKET 7,3490,5,6990,77139990-8,8.0
319,POLO SPORT TIR C/RED S/XL,600,5,3990,79531220-K,0.0
320,RODILLERA NEOP VELCRO,1200,5,2990,8752597-K,0.0
321,BALON BABY AMERICA,3290,1,6990,77139990-8,1.0
322,MED FUT INFAN TRAININ,518,5,890,77462640-9,12.0
323,SET 3 CALZON 6/16,890,3,1590,79531220-K,0.0
324,ALON FUT 5 MOD CHILE,2990,5,4990,77139990-8,7.0
325,PANTAL FUT PIQUET S/XL,1800,5,2990,10077548-4,0.0
326,COBERTOR INFAN 1 PL,4520,1,7990,92817000-4,0.0
327,PALETA PLAYA 2 PEL,3363,1,5990,77462640-9,0.0
328,BANDERA GUARDI PAR,2990,1,4990,77462640-9,0.0
329,GORRA NATACION POLY,1290,1,2290,77462640-9,0.0
330,MED FUT TRAINIG ADULT,663,1,1190,77462640-9,25.0
331,MED FUT JUV TRAINIG,620,1,0,77462640-9,0.0
332,MALLAS BALON,71,1,200,77462640-9,99.0
333,GRAPAS VENDAS,80,1,150,77462640-9,8.0
334,CODERA Y RODIL PATIN,980,1,1990,77462640-9,0.0
335,SHORT CAMIS SELC 6/14,6900,1,11990,78621160-3,0.0
336,SHORT CAMIS U.CHILE 6/14,6400,1,10990,78621160-3,0.0
337,SABANA MF SINGLE ETERNO CAMPEO,7650,1,13990,89524100-8,0.0
338,LLAVEROS U.S.F.,250,1,500,8752597-K,0.0
339,SHORT CAMISET COLO 6/16,6400,5,10990,78621160-3,0.0
340,CODERA NEOPREN,855,5,1990,76064490-0,0.0
341,CORDONES,80,1,350,77462640-9,0.0
342,BANDERIN U.S.F.,1000,1,1500,77462640-9,0.0
343,COJIN MICRO 50*50,940,14,1640,76676820-2,0.0
344,PELOTAS TACA TACA,140,5,350,77139990-8,0.0
345,SHORT CAMIS FUT U.C.,6400,5,10990,78621160-3,2.0
346,POLO ESTAMP LOLOS S/XL,1000,3,1990,93049000-8,0.0
347,STAR ZAPA FUTBOLL CAPELLADO 26,5030,5,7444,78115740-6,0.0
348,STAR ZAPA FUTBOLL CAPELLADO 27,3380,5,5002,78115740-6,0.0
349,STAR ZAPA FUTBOLL CAPELLADO 28,3380,5,5002,78115740-6,0.0
350,STAR ZAPA FUTBOLL CAPELLADO 29,3380,5,5002,78115740-6,0.0
351,STAR ZAPA FUTBOLL CAPELLADO 30,3630,5,5372,78115740-6,0.0
352,STAR ZAPA FUTBOLL CAPELLADO 31,3630,5,5372,78115740-6,0.0
353,STAR ZAPA FUTBOLL CAPELLADO 32,3630,5,5905,78115740-6,0.0
354,STAR ZAPA FUTBOLL CAPELLADO 33,3630,5,5372,78115740-6,0.0
355,STAR ZAPA FUTBOLL CAPELLADO 34,3810,5,5638,78115740-6,0.0
356,STAR ZAPA FUTBOLL CAPELLADO 35,3810,5,5638,78115740-6,0.0
357,STAR ZAPA FUTBOLL CAPELLADO 36,3810,5,5638,78115740-6,0.0
358,STAR ZAPA FUTBOLL CAPELLADO 37,3810,5,5638,78115740-6,0.0
359,STAR ZAPA FUTBOLL CAPELLADO 38,4010,5,5934,78115740-6,0.0
360,STAR ZAPA FUTBOLL CAPELLADO 39,4010,5,5934,78115740-6,0.0
361,STAR ZAPA FUTBOLL CAPELLADO 40,4010,5,5934,78115740-6,0.0
362,STAR ZAPA FUTBOLL CAPELLADO 41,4010,5,5934,78115740-6,0.0
363,STAR ZAPA FUTBOLL CAPELLADO 42,4010,5,5934,78115740-6,0.0
364,STAR ZAPA FUTBOLL CAPELLADO 43,4010,5,5934,78115740-6,0.0
365,STAR ZAPA FUTBOLL CAPELLADO 44,4010,5,5934,78115740-6,0.0
366,STAR ZA BABY FUTB CAPELLADO 34,4220,6,6245,78115740-6,0.0
367,STAR ZA BABY FUTB CAPELLADO 35,4220,6,6245,78115740-6,0.0
368,STAR ZA BABY FUTB CAPELLADO 36,4220,6,6245,78115740-6,0.0
369,STAR ZA BABY FUTB CAPELLADO 37,4220,6,6245,78115740-6,0.0
370,STAR ZA BABY FUTB CAPELLADO 38,4760,6,7044,78115740-6,0.0
371,STAR ZA BABY FUTB CAPELLADO 39,4760,6,7044,78115740-6,0.0
